hop_name,location,code,ptr_lat,ptr_lon,ptr_city
SOFTLAYER-T.edge1.Milan1.Level3.net,milan,IT,45.46427,9.18951,Milan
msw1an.01.mxp1.tfbnw.net,mxp,IT-25,45.6306,8.72811,Milan
po171.asw01.for1.tfbnw.net,for,BR-CE,-3.77628,-38.5326,Fortaleza
po202.asw03.poa1.tfbnw.net,poa,,,,
po161.asw01.gru2.tfbnw.net,gru,BR-SP,-23.435556,-46.473057,Sao Paulo
po6.asw02.det1.tfbnw.net,det,,,,
po162.asw01.gru1.tfbnw.net,gru,BR-SP,-23.435556,-46.473057,Sao Paulo
po171.asw02.for1.tfbnw.net,for,BR-CE,-3.77628,-38.5326,Fortaleza
psw01.for2.tfbnw.net,for,BR-CE,-3.77628,-38.5326,Fortaleza
msw1ae.02.for2.tfbnw.net,for,BR-CE,-3.77628,-38.5326,Fortaleza
ptp-couve-almeirao.pop-mg.rnp.br,couve|mg,,,,
et-4-36-1-as18-d.ashburn.va.ndcasbn.comcast.net,ashburn|va,US-VA,39.04372,-77.48749,Ashburn
ge-0-0-0.pp-01-nbo.ke.seacomnet.com,nbo|ke,KE-110,-1.31924,36.927799,Nairobi
po151.asw01.mba2.tfbnw.net,mba,KE-300,-4.03483,39.5942,Mombasa
po161.asw03.mba2.tfbnw.net,mba,KE-300,-4.03483,39.5942,Mombasa
psw02.los2.tfbnw.net,los,NG-LA,6.57737,3.32116,Lagos
msw1aa.01.los2.tfbnw.net,los,NG-LA,6.57737,3.32116,Lagos
de-cix.mrs.gslnetworks.com.au,mrs,FR-PAC,43.439272,5.221424,Marseille
ae-2.cr-01-nbo.ke.seacomnet.com,nbo|ke,KE-110,-1.31924,36.927799,Nairobi
ae-1.cr-02-nbo.ke.seacomnet.com,nbo|ke,KE-110,-1.31924,36.927799,Nairobi
ve553.core2.nyc4.he.net,nyc,US-NY,40.639801,-73.7789,New York
msw1af.01.cpt1.tfbnw.net,cpt,ZA-WC,-33.964802,18.6017,Cape Town
ae-0.er-01-nbo.ke.seacomnet.com,nbo|ke,KE-110,-1.31924,36.927799,Nairobi
8X8-INC.ear5.London2.Level3.net,london,GB,51.50853,-0.12574,London
ge-0-0-0.pr-01-mba.ke.seacomnet.com,mba|ke,KE-300,-4.03483,39.5942,Mombasa
msw1ah.02.mrs2.tfbnw.net,mrs,FR-PAC,43.439272,5.221424,Marseille
