#IATA	size	name	lat long	country_code	city	pop	heuristic	1	2	3
ALG	large_airport	Houari Boumediene Airport	36.6910018921 3.2154099941	DZ	Algiers	1977663 0 0 0 
ALH	medium_airport	Albany Airport	-34.9432983398 117.8089981079	AU	Albany	33650 0 0 0 
ALI	medium_airport	Alice International Airport	27.7409000397 -98.0269012451	US	Alice	19104 0 0 0 
ALL	medium_airport	Villanova D'Albenga International Airport	44.0505981445 8.1274299622	IT	Albenga	17103 0 0 0 
ALM	medium_airport	Alamogordo White Sands Regional Airport	32.8399009705 -105.9909973145	US	Alamogordo	30403 0 0 0 
ALN	medium_airport	St Louis Regional Airport	38.8903007507 -90.0459976196	US	Alton/St Louis	27865 3 0 0 
ALO	medium_airport	Waterloo Regional Airport	42.5570983887 -92.4002990723	US	Waterloo	68406 0 0 0 
ALP	large_airport	Aleppo International Airport	36.1806983948 37.2243995667	SY	Aleppo	1602264 0 0 0 
ALS	medium_airport	San Luis Valley Regional Bergman Field	37.4348983765 -105.866996765	US	Alamosa	8780 0 0 0 
ALW	medium_airport	Walla Walla Regional Airport	46.09489822 -118.288002	US	Walla Walla	31731 0 0 0 
ALY	medium_airport	El Nouzha Airport	31.1839008331 29.9489002228	EG	Alexandria	3811516 0 0 0 
AMA	large_airport	Rick Husband Amarillo International Airport	35.2193984985 -101.7060012817	US	Amarillo	190695 0 0 0 
AMD	medium_airport	Sardar Vallabhbhai Patel International Airport	23.0771999359 72.6346969604	IN	Ahmedabad	3719710 0 0 0 
AMM	large_airport	Queen Alia International Airport	31.7226009369 35.9931983948	JO	Amman	1275857 0 0 0 
AMQ	medium_airport	Pattimura Airport Ambon	-3.7102599144 128.0890045166	ID	Ambon	355596 0 0 0 
AMS	large_airport	Amsterdam Airport Schiphol	52.3086013794 4.7638897896	NL	Amsterdam	741636 0 0 0 
AMS-IX	 	Amsterdam	52.3747158 4.8986167	NL	Amsterdam	741636 0 0 0 
ANB	medium_airport	Anniston Metropolitan Airport	33.58819962 -85.85810089	US	Anniston	23106 0 0 0 
ANC	large_airport	Ted Stevens Anchorage International Airport	61.1744003296 -149.9960021973	US	Anchorage	291826 0 0 0 
AND	medium_airport	Anderson Regional Airport	34.4945983887 -82.7093963623	US	Anderson	26686 0 0 0 
ANE	medium_airport	Angers-Loire Airport	47.5602989197 -0.3122220039	FR	Angers/Marcé	168279 3 0 0 
ANF	medium_airport	Cerro Moreno Airport	-23.4444999695 -70.445098877	CL	Antofagasta	309832 0 0 0 
ANG	medium_airport	Angoulême-Brie-Champniers Airport	45.7291984558 0.2214560062	FR	Angoulême/Brie/Champniers	4997 3 0 0 
ANK	medium_airport	Etimesgut Air Base	39.949798584 32.6885986328	TR	Ankara	3517182 0 0 0 
ANR	medium_airport	Antwerp International Airport (Deurne)	51.1893997192 4.4602799416	BE	Antwerp	459805 2 0 0 
ANX	medium_airport	Andøya Airport	69.2925033569 16.1441993713	NO	Andenes	2766 0 0 0 
AOC	medium_airport	Altenburg-Nobitz Airport	50.9819450378 12.5063886642	DE	Altenburg	38568 0 0 0 
AOE	medium_airport	Anadolu University Airport	39.8098983765 30.5193996429	TR	Eskişehir	514869 0 0 0 
AOG	medium_airport	Anshan Air Base	41.1053009033 122.8539962769	CN	Anshan	1199275 0 0 0 
AOI	medium_airport	Ancona / Falconara Airport	43.6162986755 13.3622999191	IT	Ancona	89994 0 0 0 
AOJ	medium_airport	Aomori Airport	40.7346992493 140.6909942627	JP	Aomori	298394 0 0 0 
AOL	medium_airport	Paso De Los Libres Airport	-29.6894 -57.1521	AR	Paso de los Libres	43805 0 0 0 
AOO	medium_airport	Altoona Blair County Airport	40.29639816 -78.31999969	US	Altoona	46320 0 0 0 
AOT	medium_airport	Aosta Airport	45.7384986877 7.3687200546	IT	Aosta	32295 0 0 0 
APA	medium_airport	Centennial Airport	39.57009888 -104.848999	US	Denver	600158 0 0 0 
APF	medium_airport	Naples Municipal Airport	26.1525993347 -81.7752990723	US	Naples	19537 0 0 0 
APL	medium_airport	Nampula Airport	-15.1056003571 39.2817993164	MZ	Nampula	388526 0 0 0 
APN	medium_airport	Alpena County Regional Airport	45.0780983 -83.56030273	US	Alpena	10483 0 0 0 
APNIC	 	Brisbane	-27.4702796 153.023036	AU	Brisbane	2189878 0 0 0 
APS	medium_airport	Base Aérea Airport	-16.2292003632 -48.9642982483	BR	Anápolis	319587 0 0 0 
APW	medium_airport	Faleolo International Airport	-13.8299999237 -172.0079956055	WS	Apia	40407 0 0 0 
APZ	medium_airport	Zapala Airport	-38.9754981995 -70.1136016846	AR	Zapala	31534 0 0 0 
AQA	medium_airport	Araraquara Airport	-21.8120002747 -48.1329994202	BR	Araraquara	168468 0 0 0 
AQG	medium_airport	Anqing Airport	30.5821990967 117.0500030518	CN	Anqing	358661 0 0 0 
AQI	medium_airport	Hafr Al Batin Airport	28.3351993561 46.1250991821	SA	Qaisumah	20685 0 0 0 
